code,state
TBR,GA
TCC,NM
TCL,AL
TCM,WA
TCS,NM
TCT,AK
TDO,WA
TDW,TX
TDZ,OH
TEB,NJ
TEH,AK
TEK,AK
TEX,CO
THA,TN
THM,MT
THP,WY
THV,PA
TIK,OK
TIW,WA
TIX,FL
TKA,AK
TKE,AK
TKF,CA
TKI,AK
TKJ,AK
TKL,AK
TLA,AK
TLF,AK
TLH,FL
TLJ,AK
TLR,CA
TLT,AK
TMA,GA
TMB,FL
TNC,AK
TNK,AK
TNP,CA
TNT,FL
TNU,IA
TOA,CA
TOC,GA
TOG,AK
TOI,AL
TOL,OH
TOP,KS
TOR,WY
TPA,FL
TPF,FL
TPH,NV
TPL,TX
TRH,CA
TRI,TN
TRL,TX
TRM,CA
TRX,MO
TSG,AK
TSM,NM
TSP,CA
TSS,NY
TTD,OR
TTN,NJ
TTO,SD
TUH,TN
TUL,OK
TUP,MS
TUS,AZ
TVC,MI
TVF,MN
TVI,GA
TVL,CA
TWA,AK
TWD,WA
TWE,AK
TWF,ID
TWH,CA
TXK,AR
TYE,AK
TYR,TX
TYS,TN
TYZ,AZ
TZC,MI
UBS,MS
UCC,NV
UCE,LA
UCY,TN
UDD,CA
UES,WI
UGB,AK
UGI,AK
UGN,IL
UGS,AK
UIL,WA
UIN,IL
UKI,CA
UKN,IA
UKT,PA
ULM,MN
UMM,AK
UMT,AK
UMZ,AR
UNK,AK
UNU,WI
UOS,TN
UOX,MS
UPP,HI
USA,NC
USC,SC
UST,FL
UTM,MS
UTO,AK
UUK,AK
UVA,TX
UWA,MA
VAD,GA
VAK,AK
VBG,CA
VCT,TX
VCV,CA
VDI,GA
VDZ,AK
VEE,AK
VEL,UT
VEX,ND
VGT,NV
VHN,TX
VIH,MO
VIS,CA
VJI,VA
VKS,MS
VLA,IL
VLD,GA
VLE,AZ
VNC,FL
VNY,CA
VOK,WI
VPS,FL
VPZ,IN
VQQ,FL
VRB,FL
VRS,MO
VSF,VT
VTN,NE
VYS,IL
WAA,AK
WAH,ND
WAL,VA
WAY,PA
WBB,AK
WBK,MI
WBQ,AK
WBR,MI
WBU,CO
WBW,PA
WCR,AK
WDG,OK
WDN,WA
WDR,GA
WEA,TX
WFB,AK
WFK,ME
WGO,VA
WHD,AK
WHP,CA
WHT,TX
WIB,TX
WJF,CA
WKK,AK
WKL,HI
WLD,KS
WLK,AK
WLR,AK
WLW,CA
WMC,NV
WMH,AR
